Id,SalePrice
1461,124936.52535807338
1462,147441.29910127973
1463,182184.10115018315
1464,185608.5901083015
1465,196245.55978630902
1466,185361.4527383143
1467,164055.30520432026
1468,175138.96928919392
1469,180946.61135187774
1470,124606.07038446612
1471,203060.1717767513
1472,112926.34320029774
1473,111688.6709444311
1474,155666.3299165962
1475,127801.46418718879
1476,282683.7326467643
1477,256133.86040564283
1478,282427.97993879026
1479,281543.17435152206
1480,302614.37751367484
1481,294182.47805880505
1482,210801.93408714226
1483,182408.34674588547
1484,184764.98207963197
1485,183796.44477120624
1486,201259.46002654685
1487,277385.7765926978
1488,249496.49202714095
1489,192955.8541078591
1490,209484.1027409971
1491,202903.72240895106
1492,112377.51792136305
1493,179413.02567217275
1494,277310.8922731368
1495,275965.7017667096
1496,220965.89427146612
1497,191610.62935777885
1498,172819.4270607601
1499,171813.04831050825
1500,163051.8728085149
1501,179251.46252023926
1502,171663.31202846198
1503,238477.90459551447
1504,222578.6385894083
1505,217502.9155362821
1506,173838.0609785414
1507,205858.86542024018
1508,181023.8528675546
1509,151857.55007772156
1510,147670.8562840122
1511,146337.85121492058
1512,162820.40476359145
1513,152768.9894968026
1514,163790.56192099614
1515,190255.07016564827
1516,157483.09710018247
1517,149473.24116695405
1518,150859.67949540194
1519,222444.04307553414
1520,134886.62275306866
1521,141084.4251411816
1522,169672.04822074497
1523,113836.86002150856
1524,123890.27163538162
1525,128313.24144221212
1526,128767.52430982552
1527,112640.54268719658
1528,124975.83807756801
1529,139832.56887954057
1530,164207.3001828421
1531,137432.18218752785
1532,121842.11524031458
1533,137683.17121339712
1534,119930.57676559032
1535,149338.01118640898
1536,119996.81578039553
1537,116116.30298466729
1538,168294.03730723524
1539,193418.37954136913
1540,134354.30409295045
1541,145539.3042307219
1542,136640.16353871167
1543,167471.76246526558
1544,101369.55382108406
1545,110196.01704147502
1546,125221.64040840797
1547,133668.20482249564
1548,126611.36007669443
1549,115130.57902414729
1550,143387.6879892541
1551,128261.14773345922
1552,141659.5833645437
1553,151738.87608714573
1554,114686.39955735796
1555,165514.54586808616
1556,111919.49230011256
1557,138633.90101397366
1558,108679.47299691042
1559,122971.49542634004
1560,150045.15332334515
1561,160793.35450426646
1562,120963.02896242557
1563,122420.35614040872
1564,156384.32273283871
1565,152314.2909195931
1566,200015.43106196498
1567,106474.30153410257
1568,195385.5903127556
1569,147230.93175717912
1570,133626.49111363903
1571,135039.11883486342
1572,140261.00459070972
1573,217691.63201965735
1574,146585.04688110985
1575,209402.00147164063
1576,219402.9229227592
1577,189253.13255851032
1578,152453.86697238556
1579,145516.61366015303
1580,189839.35699874166
1581,141244.27924599056
1582,125492.87126582827
1583,289984.6028727584
1584,226385.59280734562
1585,152408.96941932294
1586,102894.86098916979
1587,113980.30050976391
1588,140024.58532303982
1589,113300.41389228584
1590,137429.61732940166
1591,111859.96413538733
1592,136595.76893216567
1593,127395.02438451177
1594,129944.48713248679
1595,141784.56122383216
1596,198864.76166307146
1597,163526.01875657152
1598,187154.01886254363
1599,177412.0182357709
1600,196413.12140832108
1601,101886.68877411103
1602,112510.48453631121
1603,111555.31078349768
1604,249607.98007343174
1605,254676.50689033492
1606,160573.8671751806
1607,168837.91842990744
1608,219734.50517300708
1609,190245.9933043611
1610,161182.21181773685
1611,147020.85542993055
1612,170468.26604018366
1613,168265.17222305087
1614,128070.82354309678
1615,106712.98185848269
1616,103894.55821821977
1617,106131.31020473201
1618,120281.99415368278
1619,132494.2675014299
1620,173299.8331902148
1621,140073.53473990504
1622,145022.06369575916
1623,257433.27911734546
1624,210694.8566466097
1625,129455.43398380424
1626,170930.72727568122
1627,184481.17005816006
1628,266756.0682584062
1629,185154.93909623963
1630,263496.84050911904
1631,204079.7528881858
1632,229358.40987011997
1633,178941.7895983592
1634,186703.87759046908
1635,179467.66359932697
1636,162652.54157673012
1637,174663.90790219803
1638,191954.90555767278
1639,185458.88483787808
1640,209081.101076837
1641,182501.93190730343
1642,207819.53242669613
1643,221748.41128023237
1644,218287.29399343496
1645,169295.37069869193
1646,155549.3610603583
1647,169726.8119029067
1648,138016.8939346895
1649,130682.9813171971
1650,119879.37029360492
1651,120270.45814811124
1652,113447.58391022375
1653,112483.05540525069
1654,158384.6765562276
1655,153434.92157575343
1656,155954.99326436443
1657,159076.89537336823
1658,162182.64040065024
1659,132083.46959621483
1660,158403.46868301835
1661,302396.3387676234
1662,278263.79002126167
1663,297747.96110620024
1664,302502.0970288797
1665,277599.75629306445
1666,290363.38459395705
1667,289950.317489429
1668,281745.4875911009
1669,269654.855916053
1670,283115.654149734
1671,252882.61856251536
1672,302000.0032612593
1673,271081.0824569919
1674,265000.8182385503
1675,190226.18250758853
1676,187692.41570930192
1677,208315.9901669915
1678,303316.2271443525
1679,304551.46712811635
1680,259721.46352056315
1681,224367.38498064116
1682,284210.44103807077
1683,199533.0747155325
1684,191815.61887672308
1685,181108.76645668384
1686,188744.75394360625
1687,178848.081991378
1688,200015.76964258894
1689,201750.3906304796
1690,193632.57210910576
1691,180290.31318448394
1692,249248.99572996594
1693,177860.07141554978
1694,178815.02715070435
1695,172871.8720542995
1696,254422.1858218573
1697,174678.29641714325
1698,281048.29878807085
1699,288718.88814192545
1700,237091.10872236564
1701,260622.1160979069
1702,264914.38161649735
1703,271132.2680781656
1704,281463.2143674985
1705,231911.8017617961
1706,298816.07844511437
1707,202653.67287794093
1708,199520.07009357127
1709,261053.23890286926
1710,226739.57235443
1711,246979.01152539972
1712,252236.3482205945
1713,252536.7746809237
1714,214903.115438323
1715,194246.58207127964
1716,184520.2862725353
1717,172757.95170880447
1718,144345.21598338586
1719,210074.3923292845
1720,253105.04874628692
1721,178130.60564471292
1722,141639.97060831272
1723,157912.3426316585
1724,214682.0216700963
1725,225025.06956770387
1726,183579.47183981902
1727,174254.92935847276
1728,189644.79223164858
1729,163213.86301944006
1730,162005.93465179196
1731,128786.59317270787
1732,128253.8443194432
1733,122967.2476350326
1734,132703.76758320947
1735,132484.25763958247
1736,120182.80948602258
1737,244894.30662521484
1738,216517.909808637
1739,240027.93893524425
1740,215586.09662527675
1741,181693.13193416168
1742,179028.31998811755
1743,186543.97720386603
1744,240159.34722739656
1745,194464.30577585378
1746,212121.05444377448
1747,190710.22517658302
1748,185092.10306614268
1749,156026.862365274
1750,141727.8140116116
1751,197438.43666927746
1752,123386.6799615921
1753,154501.47404149224
1754,191488.32705581695
1755,163534.92437241526
1756,126620.10244530706
1757,119287.15878186261
1758,144778.45319704793
1759,165281.03954537783
1760,154042.58703371085
1761,154567.48445222367
1762,163134.40143024497
